[2025-07-31 06:00:00.000] INFO  SensorHub: Init complete. Firmware v2.0.1
[2025-07-31 06:00:00.000] DEBUG ADC[id=1001]: Temperature sensor #1 initialized
[2025-07-31 06:00:00.000] DEBUG ADC[id=1002]: Temperature sensor #2 initialized
[2025-07-31 06:00:00.000] DEBUG ADC[id=1003]: Temperature sensor #3 initialized
[2025-07-31 06:00:00.000] DEBUG ADC[id=1004]: Temperature sensor #4 initialized
[2025-07-31 06:00:00.000] DEBUG ADC[id=1005]: Temperature sensor #5 initialized
[2025-07-31 06:00:00.000] DEBUG ADC[id=1006]: Moisture sensor #1 initialized
[2025-07-31 06:00:00.000] DEBUG ADC[id=1007]: Moisture sensor #2 initialized
[2025-07-31 06:00:00.000] DEBUG ADC[id=1008]: Moisture sensor #3 initialized
[2025-07-31 06:00:00.000] DEBUG ADC[id=1009]: Moisture sensor #4 initialized
[2025-07-31 06:00:00.000] DEBUG ADC[id=1010]: Moisture sensor #5 initialized
[2025-07-31 06:00:00.000] DEBUG ADC[id=1011]: Light sensor #1 initialized
[2025-07-31 06:00:00.000] DEBUG ADC[id=1012]: Light sensor #2 initialized
[2025-07-31 06:00:00.000] DEBUG ADC[id=1013]: Light sensor #3 initialized
[2025-07-31 06:00:00.000] DEBUG ADC[id=1014]: Light sensor #4 initialized
[2025-07-31 06:00:00.000] DEBUG ADC[id=1015]: Light sensor #5 initialized
[2025-07-31 06:00:00.000] DEBUG ADC[id=1016]: Humidity sensor #1 initialized
[2025-07-31 06:00:00.000] DEBUG ADC[id=1017]: Humidity sensor #2 initialized
[2025-07-31 06:00:00.000] DEBUG ADC[id=1018]: Humidity sensor #3 initialized
[2025-07-31 06:00:00.000] DEBUG ADC[id=1019]: Humidity sensor #4 initialized
[2025-07-31 06:00:00.000] DEBUG ADC[id=1020]: Humidity sensor #5 initialized
[2025-07-31 06:00:00.000] DEBUG ADC[id=1021]: Co2 sensor #1 initialized
[2025-07-31 06:00:00.000] DEBUG ADC[id=1022]: Co2 sensor #2 initialized
[2025-07-31 06:00:00.000] DEBUG ADC[id=1023]: Co2 sensor #3 initialized
[2025-07-31 06:00:00.000] DEBUG ADC[id=1024]: Co2 sensor #4 initialized
[2025-07-31 06:00:00.000] DEBUG ADC[id=1025]: Co2 sensor #5 initialized
[2025-07-31 06:00:05.000] INFO  SensorData[id=1001,1006,1011,1016,1021]: Temp=26.0C, Moisture=45.4%, Light=536lux, Humidity=48.6%, CO2=677ppm
[2025-07-31 06:00:15.000] INFO  SensorData[id=1003,1008,1013,1018,1023]: Temp=23.8C, Moisture=41.7%, Light=688lux, Humidity=58.5%, CO2=496ppm
[2025-07-31 06:00:15.000] INFO  SensorData[id=1004,1009,1014,1019,1024]: Temp=24.4C, Moisture=39.1%, Light=680lux, Humidity=63.4%, CO2=571ppm
[2025-07-31 06:00:15.000] INFO  SensorData[id=1005,1010,1015,1020,1025]: Temp=25.1C, Moisture=40.4%, Light=630lux, Humidity=61.6%, CO2=727ppm
[2025-07-31 06:00:20.000] INFO  SensorData[id=1001,1006,1011,1016,1021]: Temp=25.3C, Moisture=40.5%, Light=529lux, Humidity=60.4%, CO2=658ppm
[2025-07-31 06:00:20.000] INFO  SensorData[id=1002,1007,1012,1017,1022]: Temp=23.5C, Moisture=35.1%, Light=525lux, Humidity=49.1%, CO2=381ppm
[2025-07-31 06:00:20.000] INFO  SensorData[id=1003,1008,1013,1018,1023]: Temp=24.0C, Moisture=41.5%, Light=661lux, Humidity=59.1%, CO2=636ppm
[2025-07-31 06:00:20.000] INFO  SensorData[id=1004,1009,1014,1019,1024]: Temp=24.4C, Moisture=38.5%, Light=692lux, Humidity=45.9%, CO2=631ppm
[2025-07-31 06:00:20.000] INFO  SensorData[id=1005,1010,1015,1020,1025]: Temp=22.7C, Moisture=40.0%, Light=538lux, Humidity=56.3%, CO2=679ppm
[2025-07-31 06:00:25.000] INFO  SensorData[id=1001,1006,1011,1016,1021]: Temp=22.7C, Moisture=43.5%, Light=617lux, Humidity=58.9%, CO2=457ppm
[2025-07-31 06:00:25.000] INFO  SensorData[id=1002,1007,1012,1017,1022]: Temp=23.2C, Moisture=40.4%, Light=500lux, Humidity=48.6%, CO2=688ppm
[2025-07-31 06:00:25.000] INFO  SensorData[id=1003,1008,1013,1018,1023]: Temp=25.9C, Moisture=36.7%, Light=603lux, Humidity=43.3%, CO2=621ppm
[2025-07-31 06:00:25.000] INFO  SensorData[id=1004,1009,1014,1019,1024]: Temp=26.5C, Moisture=46.5%, Light=515lux, Humidity=48.1%, CO2=653ppm
[2025-07-31 06:00:25.000] INFO  SensorData[id=1005,1010,1015,1020,1025]: Temp=23.2C, Moisture=44.8%, Light=666lux, Humidity=67.8%, CO2=720ppm
[2025-07-31 06:00:30.000] INFO  SensorData[id=1001,1006,1011,1016,1021]: Temp=25.7C, Moisture=44.0%, Light=577lux, Humidity=41.7%, CO2=478ppm
[2025-07-31 06:00:30.000] INFO  SensorData[id=1002,1007,1012,1017,1022]: Temp=23.5C, Moisture=44.1%, Light=642lux, Humidity=43.8%, CO2=631ppm
[2025-07-31 06:00:30.000] INFO  SensorData[id=1003,1008,1013,1018,1023]: Temp=23.4C, Moisture=42.3%, Light=670lux, Humidity=66.8%, CO2=500ppm
[2025-07-31 06:00:30.000] INFO  SensorData[id=1004,1009,1014,1019,1024]: Temp=23.6C, Moisture=42.8%, Light=545lux, Humidity=65.6%, CO2=737ppm
[2025-07-31 06:00:30.000] INFO  SensorData[id=1005,1010,1015,1020,1025]: Temp=24.2C, Moisture=36.7%, Light=521lux, Humidity=66.8%, CO2=472ppm
[2025-07-31 06:00:35.000] INFO  SensorData[id=1001,1006,1011,1016,1021]: Temp=25.3C, Moisture=40.0%, Light=515lux, Humidity=53.9%, CO2=360ppm
[2025-07-31 06:00:35.000] INFO  SensorData[id=1002,1007,1012,1017,1022]: Temp=23.7C, Moisture=44.3%, Light=542lux, Humidity=55.7%, CO2=708ppm
[2025-07-31 06:00:35.000] INFO  SensorData[id=1003,1008,1013,1018,1023]: Temp=24.7C, Moisture=38.1%, Light=538lux, Humidity=46.6%, CO2=381ppm
[2025-07-31 06:00:35.000] INFO  SensorData[id=1004,1009,1014,1019,1024]: Temp=24.2C, Moisture=36.8%, Light=543lux, Humidity=55.3%, CO2=505ppm
[2025-07-31 06:00:35.000] INFO  SensorData[id=1005,1010,1015,1020,1025]: Temp=22.7C, Moisture=41.1%, Light=590lux, Humidity=66.0%, CO2=577ppm
[2025-07-31 06:00:40.000] INFO  SensorData[id=1001,1006,1011,1016,1021]: Temp=22.9C, Moisture=37.5%, Light=586lux, Humidity=65.1%, CO2=409ppm
[2025-07-31 06:00:40.000] INFO  SensorData[id=1002,1007,1012,1017,1022]: Temp=25.7C, Moisture=36.4%, Light=619lux, Humidity=45.6%, CO2=483ppm
[2025-07-31 06:00:40.000] INFO  SensorData[id=1003,1008,1013,1018,1023]: Temp=23.2C, Moisture=46.8%, Light=526lux, Humidity=43.3%, CO2=777ppm
[2025-07-31 06:00:40.000] INFO  SensorData[id=1004,1009,1014,1019,1024]: Temp=24.4C, Moisture=46.7%, Light=542lux, Humidity=57.9%, CO2=571ppm
[2025-07-31 06:00:40.000] INFO  SensorData[id=1005,1010,1015,1020,1025]: Temp=26.0C, Moisture=35.4%, Light=656lux, Humidity=56.7%, CO2=496ppm
[2025-07-31 06:00:45.000] INFO  SensorData[id=1001,1006,1011,1016,1021]: Temp=24.3C, Moisture=40.0%, Light=686lux, Humidity=56.9%, CO2=424ppm
[2025-07-31 06:00:45.000] INFO  SensorData[id=1002,1007,1012,1017,1022]: Temp=25.8C, Moisture=47.7%, Light=567lux, Humidity=59.1%, CO2=650ppm
[2025-07-31 06:00:45.000] INFO  SensorData[id=1003,1008,1013,1018,1023]: Temp=25.8C, Moisture=37.6%, Light=674lux, Humidity=66.4%, CO2=463ppm
[2025-07-31 06:00:45.000] INFO  SensorData[id=1004,1009,1014,1019,1024]: Temp=25.5C, Moisture=41.5%, Light=634lux, Humidity=59.9%, CO2=493ppm
[2025-07-31 06:00:45.000] INFO  SensorData[id=1005,1010,1015,1020,1025]: Temp=24.1C, Moisture=44.5%, Light=597lux, Humidity=47.8%, CO2=665ppm
[2025-07-31 06:00:50.000] INFO  SensorData[id=1001,1006,1011,1016,1021]: Temp=26.1C, Moisture=43.3%, Light=694lux, Humidity=56.5%, CO2=457ppm
[2025-07-31 06:00:50.000] INFO  SensorData[id=1002,1007,1012,1017,1022]: Temp=25.6C, Moisture=43.1%, Light=530lux, Humidity=44.4%, CO2=583ppm
[2025-07-31 06:00:50.000] INFO  SensorData[id=1003,1008,1013,1018,1023]: Temp=23.0C, Moisture=44.5%, Light=667lux, Humidity=60.6%, CO2=690ppm
[2025-07-31 06:00:50.000] INFO  SensorData[id=1004,1009,1014,1019,1024]: Temp=25.6C, Moisture=40.0%, Light=556lux, Humidity=69.1%, CO2=652ppm
[2025-07-31 06:00:50.000] INFO  SensorData[id=1005,1010,1015,1020,1025]: Temp=26.0C, Moisture=46.4%, Light=532lux, Humidity=44.0%, CO2=484ppm
[2025-07-31 06:00:55.000] INFO  SensorData[id=1001,1006,1011,1016,1021]: Temp=23.7C, Moisture=46.1%, Light=574lux, Humidity=57.6%, CO2=661ppm
[2025-07-31 06:00:55.000] INFO  SensorData[id=1002,1007,1012,1017,1022]: Temp=24.5C, Moisture=43.7%, Light=513lux, Humidity=48.2%, CO2=364ppm
[2025-07-31 06:00:55.000] INFO  SensorData[id=1003,1008,1013,1018,1023]: Temp=25.7C, Moisture=47.2%, Light=559lux, Humidity=65.0%, CO2=528ppm
[2025-07-31 06:00:55.000] INFO  SensorData[id=1004,1009,1014,1019,1024]: Temp=24.7C, Moisture=41.8%, Light=531lux, Humidity=40.7%, CO2=746ppm
[2025-07-31 06:00:55.000] INFO  SensorData[id=1005,1010,1015,1020,1025]: Temp=24.1C, Moisture=42.5%, Light=634lux, Humidity=68.4%, CO2=517ppm
[2025-07-31 06:01:00.000] INFO  SensorData[id=1001,1006,1011,1016,1021]: Temp=25.6C, Moisture=38.2%, Light=664lux, Humidity=69.6%, CO2=727ppm
[2025-07-31 06:01:00.000] INFO  SensorData[id=1002,1007,1012,1017,1022]: Temp=25.2C, Moisture=43.7%, Light=577lux, Humidity=50.4%, CO2=774ppm
[2025-07-31 06:01:00.000] INFO  SensorData[id=1003,1008,1013,1018,1023]: Temp=25.2C, Moisture=41.7%, Light=666lux, Humidity=53.8%, CO2=748ppm
[2025-07-31 06:01:00.000] INFO  SensorData[id=1004,1009,1014,1019,1024]: Temp=24.1C, Moisture=35.2%, Light=662lux, Humidity=63.3%, CO2=443ppm
[2025-07-31 06:01:00.000] INFO  SensorData[id=1005,1010,1015,1020,1025]: Temp=25.5C, Moisture=35.2%, Light=526lux, Humidity=60.6%, CO2=716ppm
[2025-07-31 06:01:05.000] INFO  SensorData[id=1001,1006,1011,1016,1021]: Temp=25.9C, Moisture=38.1%, Light=662lux, Humidity=47.3%, CO2=502ppm
[2025-07-31 06:01:05.000] INFO  SensorData[id=1002,1007,1012,1017,1022]: Temp=23.5C, Moisture=38.2%, Light=617lux, Humidity=45.6%, CO2=520ppm
[2025-07-31 06:01:05.000] INFO  SensorData[id=1003,1008,1013,1018,1023]: Temp=23.0C, Moisture=46.6%, Light=653lux, Humidity=55.9%, CO2=519ppm
[2025-07-31 06:01:05.000] INFO  SensorData[id=1004,1009,1014,1019,1024]: Temp=25.8C, Moisture=47.2%, Light=564lux, Humidity=66.8%, CO2=791ppm
[2025-07-31 06:01:05.000] INFO  SensorData[id=1005,1010,1015,1020,1025]: Temp=24.8C, Moisture=47.6%, Light=550lux, Humidity=42.6%, CO2=610ppm
[2025-07-31 06:01:10.000] INFO  SensorData[id=1001,1006,1011,1016,1021]: Temp=23.7C, Moisture=41.8%, Light=562lux, Humidity=68.8%, CO2=539ppm
[2025-07-31 06:01:10.000] INFO  SensorData[id=1002,1007,1012,1017,1022]: Temp=23.2C, Moisture=38.5%, Light=624lux, Humidity=56.4%, CO2=424ppm
[2025-07-31 06:01:10.000] INFO  SensorData[id=1003,1008,1013,1018,1023]: Temp=24.5C, Moisture=45.2%, Light=598lux, Humidity=46.6%, CO2=645ppm
[2025-07-31 06:01:10.000] INFO  SensorData[id=1004,1009,1014,1019,1024]: Temp=23.8C, Moisture=40.8%, Light=526lux, Humidity=41.3%, CO2=702ppm
[2025-07-31 06:01:10.000] INFO  SensorData[id=1005,1010,1015,1020,1025]: Temp=24.7C, Moisture=35.6%, Light=569lux, Humidity=50.9%, CO2=483ppm
[2025-07-31 06:01:15.000] INFO  SensorData[id=1001,1006,1011,1016,1021]: Temp=23.3C, Moisture=36.3%, Light=700lux, Humidity=46.9%, CO2=687ppm
[2025-07-31 06:01:15.000] INFO  SensorData[id=1002,1007,1012,1017,1022]: Temp=23.0C, Moisture=36.2%, Light=660lux, Humidity=65.5%, CO2=471ppm
[2025-07-31 06:01:15.000] INFO  SensorData[id=1003,1008,1013,1018,1023]: Temp=24.9C, Moisture=46.5%, Light=614lux, Humidity=57.6%, CO2=681ppm
[2025-07-31 06:01:15.000] INFO  SensorData[id=1004,1009,1014,1019,1024]: Temp=25.4C, Moisture=46.6%, Light=569lux, Humidity=47.9%, CO2=608ppm
[2025-07-31 06:01:15.000] INFO  SensorData[id=1005,1010,1015,1020,1025]: Temp=24.0C, Moisture=46.6%, Light=605lux, Humidity=59.1%, CO2=661ppm
[2025-07-31 06:01:20.000] INFO  SensorData[id=1001,1006,1011,1016,1021]: Temp=22.6C, Moisture=44.9%, Light=501lux, Humidity=51.7%, CO2=766ppm
[2025-07-31 06:01:20.000] INFO  SensorData[id=1002,1007,1012,1017,1022]: Temp=25.8C, Moisture=39.6%, Light=570lux, Humidity=68.1%, CO2=389ppm
[2025-07-31 06:01:20.000] INFO  SensorData[id=1003,1008,1013,1018,1023]: Temp=23.5C, Moisture=36.9%, Light=615lux, Humidity=47.0%, CO2=632ppm
[2025-07-31 06:01:20.000] INFO  SensorData[id=1004,1009,1014,1019,1024]: Temp=26.3C, Moisture=42.4%, Light=611lux, Humidity=61.8%, CO2=688ppm
[2025-07-31 06:01:20.000] INFO  SensorData[id=1005,1010,1015,1020,1025]: Temp=25.2C, Moisture=41.0%, Light=600lux, Humidity=58.7%, CO2=702ppm
[2025-07-31 06:01:25.000] INFO  SensorData[id=1001,1006,1011,1016,1021]: Temp=25.7C, Moisture=40.5%, Light=576lux, Humidity=41.4%, CO2=778ppm
[2025-07-31 06:01:25.000] INFO  SensorData[id=1002,1007,1012,1017,1022]: Temp=24.7C, Moisture=44.0%, Light=678lux, Humidity=41.8%, CO2=556ppm
[2025-07-31 06:01:25.000] INFO  SensorData[id=1003,1008,1013,1018,1023]: Temp=25.1C, Moisture=43.5%, Light=520lux, Humidity=69.4%, CO2=395ppm
[2025-07-31 06:01:25.000] INFO  SensorData[id=1004,1009,1014,1019,1024]: Temp=25.4C, Moisture=39.5%, Light=590lux, Humidity=45.6%, CO2=515ppm
[2025-07-31 06:01:25.000] INFO  SensorData[id=1005,1010,1015,1020,1025]: Temp=22.5C, Moisture=42.7%, Light=546lux, Humidity=52.3%, CO2=439ppm
[2025-07-31 06:01:30.000] INFO  SensorData[id=1001,1006,1011,1016,1021]: Temp=25.5C, Moisture=46.5%, Light=549lux, Humidity=50.0%, CO2=721ppm
[2025-07-31 06:01:30.000] INFO  SensorData[id=1002,1007,1012,1017,1022]: Temp=26.3C, Moisture=36.8%, Light=648lux, Humidity=56.5%, CO2=677ppm
[2025-07-31 06:01:30.000] INFO  SensorData[id=1003,1008,1013,1018,1023]: Temp=25.6C, Moisture=41.1%, Light=510lux, Humidity=57.5%, CO2=726ppm
[2025-07-31 06:01:30.000] INFO  SensorData[id=1004,1009,1014,1019,1024]: Temp=24.1C, Moisture=45.2%, Light=564lux, Humidity=52.0%, CO2=455ppm
[2025-07-31 06:01:30.000] INFO  SensorData[id=1005,1010,1015,1020,1025]: Temp=23.4C, Moisture=37.9%, Light=581lux, Humidity=42.5%, CO2=732ppm
[2025-07-31 06:01:35.000] INFO  SensorData[id=1001,1006,1011,1016,1021]: Temp=23.6C, Moisture=38.7%, Light=672lux, Humidity=47.0%, CO2=671ppm
[2025-07-31 06:01:35.000] INFO  SensorData[id=1002,1007,1012,1017,1022]: Temp=24.9C, Moisture=40.5%, Light=556lux, Humidity=59.9%, CO2=502ppm
[2025-07-31 06:01:35.000] INFO  SensorData[id=1003,1008,1013,1018,1023]: Temp=23.3C, Moisture=47.8%, Light=574lux, Humidity=41.8%, CO2=493ppm
[2025-07-31 06:01:35.000] INFO  SensorData[id=1004,1009,1014,1019,1024]: Temp=24.8C, Moisture=36.1%, Light=628lux, Humidity=54.9%, CO2=583ppm
[2025-07-31 06:01:35.000] INFO  SensorData[id=1005,1010,1015,1020,1025]: Temp=23.9C, Moisture=39.4%, Light=538lux, Humidity=41.2%, CO2=742ppm
[2025-07-31 06:01:40.000] INFO  SensorData[id=1001,1006,1011,1016,1021]: Temp=24.6C, Moisture=45.0%, Light=670lux, Humidity=67.8%, CO2=671ppm
[2025-07-31 06:01:40.000] INFO  SensorData[id=1002,1007,1012,1017,1022]: Temp=24.9C, Moisture=40.8%, Light=597lux, Humidity=49.0%, CO2=660ppm
[2025-07-31 06:01:40.000] INFO  SensorData[id=1003,1008,1013,1018,1023]: Temp=23.5C, Moisture=45.9%, Light=550lux, Humidity=62.2%, CO2=616ppm
[2025-07-31 06:01:40.000] INFO  SensorData[id=1004,1009,1014,1019,1024]: Temp=24.2C, Moisture=44.5%, Light=617lux, Humidity=47.5%, CO2=704ppm
[2025-07-31 06:01:40.000] INFO  SensorData[id=1005,1010,1015,1020,1025]: Temp=26.4C, Moisture=39.7%, Light=528lux, Humidity=49.0%, CO2=633ppm
[2025-07-31 06:01:45.000] INFO  SensorData[id=1001,1006,1011,1016,1021]: Temp=24.8C, Moisture=42.1%, Light=628lux, Humidity=67.8%, CO2=539ppm
[2025-07-31 06:01:45.000] INFO  SensorData[id=1002,1007,1012,1017,1022]: Temp=25.1C, Moisture=41.7%, Light=648lux, Humidity=68.5%, CO2=505ppm
[2025-07-31 06:01:45.000] INFO  SensorData[id=1003,1008,1013,1018,1023]: Temp=24.7C, Moisture=39.1%, Light=597lux, Humidity=50.5%, CO2=351ppm
[2025-07-31 06:01:45.000] WARN  MoistureMonitor[id=1008]: Moisture dropped to 39.1%
[2025-07-31 06:01:45.000] INFO  SensorData[id=1004,1009,1014,1019,1024]: Temp=23.8C, Moisture=40.2%, Light=608lux, Humidity=49.1%, CO2=724ppm
[2025-07-31 06:01:45.000] INFO  SensorData[id=1005,1010,1015,1020,1025]: Temp=23.4C, Moisture=42.4%, Light=577lux, Humidity=60.3%, CO2=629ppm
[2025-07-31 06:01:50.000] INFO  SensorData[id=1001,1006,1011,1016,1021]: Temp=25.6C, Moisture=36.1%, Light=653lux, Humidity=69.8%, CO2=758ppm
[2025-07-31 06:01:50.000] INFO  SensorData[id=1002,1007,1012,1017,1022]: Temp=25.3C, Moisture=45.7%, Light=616lux, Humidity=68.5%, CO2=509ppm
[2025-07-31 06:01:50.000] INFO  SensorData[id=1003,1008,1013,1018,1023]: Temp=24.2C, Moisture=47.4%, Light=599lux, Humidity=69.8%, CO2=675ppm
[2025-07-31 06:01:50.000] INFO  SensorData[id=1004,1009,1014,1019,1024]: Temp=25.8C, Moisture=38.0%, Light=690lux, Humidity=45.9%, CO2=556ppm
[2025-07-31 06:01:50.000] INFO  SensorData[id=1005,1010,1015,1020,1025]: Temp=25.0C, Moisture=40.5%, Light=575lux, Humidity=57.2%, CO2=778ppm
[2025-07-31 06:01:55.000] INFO  SensorData[id=1001,1006,1011,1016,1021]: Temp=25.7C, Moisture=37.4%, Light=602lux, Humidity=43.7%, CO2=366ppm
[2025-07-31 06:01:55.000] INFO  SensorData[id=1002,1007,1012,1017,1022]: Temp=24.9C, Moisture=46.4%, Light=503lux, Humidity=44.6%, CO2=550ppm
[2025-07-31 06:01:55.000] INFO  SensorData[id=1003,1008,1013,1018,1023]: Temp=22.5C, Moisture=44.1%, Light=561lux, Humidity=47.7%, CO2=473ppm
[2025-07-31 06:01:55.000] INFO  SensorData[id=1004,1009,1014,1019,1024]: Temp=23.6C, Moisture=43.0%, Light=575lux, Humidity=45.6%, CO2=482ppm
[2025-07-31 06:01:55.000] INFO  SensorData[id=1005,1010,1015,1020,1025]: Temp=23.8C, Moisture=47.2%, Light=667lux, Humidity=55.3%, CO2=396ppm
[2025-07-31 06:02:00.000] INFO  SensorData[id=1001,1006,1011,1016,1021]: Temp=25.6C, Moisture=40.2%, Light=554lux, Humidity=47.8%, CO2=751ppm
[2025-07-31 06:02:00.000] INFO  SensorData[id=1002,1007,1012,1017,1022]: Temp=26.0C, Moisture=44.2%, Light=515lux, Humidity=45.0%, CO2=467ppm
[2025-07-31 06:02:00.000] INFO  SensorData[id=1003,1008,1013,1018,1023]: Temp=23.0C, Moisture=43.0%, Light=679lux, Humidity=50.4%, CO2=674ppm
[2025-07-31 06:02:00.000] INFO  SensorData[id=1004,1009,1014,1019,1024]: Temp=24.6C, Moisture=40.3%, Light=678lux, Humidity=69.2%, CO2=772ppm
[2025-07-31 06:02:00.000] INFO  SensorData[id=1005,1010,1015,1020,1025]: Temp=26.3C, Moisture=42.3%, Light=611lux, Humidity=56.5%, CO2=703ppm
[2025-07-31 06:02:05.000] INFO  SensorData[id=1001,1006,1011,1016,1021]: Temp=25.9C, Moisture=39.7%, Light=551lux, Humidity=52.7%, CO2=541ppm
[2025-07-31 06:02:05.000] INFO  SensorData[id=1002,1007,1012,1017,1022]: Temp=24.2C, Moisture=37.8%, Light=614lux, Humidity=43.1%, CO2=577ppm
[2025-07-31 06:02:05.000] INFO  SensorData[id=1003,1008,1013,1018,1023]: Temp=25.6C, Moisture=47.3%, Light=596lux, Humidity=42.8%, CO2=756ppm
[2025-07-31 06:02:05.000] INFO  SensorData[id=1004,1009,1014,1019,1024]: Temp=22.9C, Moisture=47.7%, Light=657lux, Humidity=40.5%, CO2=697ppm
[2025-07-31 06:02:05.000] INFO  SensorData[id=1005,1010,1015,1020,1025]: Temp=25.1C, Moisture=37.2%, Light=661lux, Humidity=53.5%, CO2=448ppm
[2025-07-31 06:02:10.000] INFO  SensorData[id=1001,1006,1011,1016,1021]: Temp=22.7C, Moisture=36.9%, Light=531lux, Humidity=42.1%, CO2=701ppm
[2025-07-31 06:02:10.000] INFO  SensorData[id=1002,1007,1012,1017,1022]: Temp=23.5C, Moisture=45.8%, Light=570lux, Humidity=60.2%, CO2=526ppm
[2025-07-31 06:02:10.000] INFO  SensorData[id=1003,1008,1013,1018,1023]: Temp=25.0C, Moisture=35.9%, Light=650lux, Humidity=49.1%, CO2=381ppm
